Brand,TechnologyI,TechnologyII,TechnologyIII,TechnologyIV,TypeI,TypeII,Company,Date
Nike Joyride,Electrónica,Videjuegos,Contenido 3D,,Deportes,Moda,Intus,2019
Cámilo Séptimo,IMAG,,,,Artista,,Intus,2019
Submerge Artechouse,Contenido Inmersivo 3D,,,,Entretenimiento,,Intus,
Empo Sinfónico,VJ,,,,Festivales,,Intus,
Concierto Navidad,VJ,,,,Festivales,,Intus,
Mutek México,I.A,,,,Festivales,,Intus,
Vive Mi Selección,Tracking,Videmapping,,,Entretenimiento,Deporte,"Cocolab
",
Disney,Tracking,,,,Entretenimiento,,Cocolab,
Banco de México Museo,UI,,,,Museografía,,"Cocolab
",
Jovem Museo Jorge Vergara,I.A,UI,,,Museografía,,"Cocolab
",
Hacienda Clase Azul,"Contenido Inmersivo 3D
",,,,Bebida Alcohólica,,"Cocolab
",
Burning Man,VJ,,,,Festivales,,Mayan Warrior,
Vive Latino Elsa y Elmar,VJ,,,,Festivales,,Automata,
Huaweii,VJ,,,,Telefonía,,Siete Media,
La Peni Proyección Interactiva,I.A,Videomapping,,,Entretenimiento,,Siete Media,
DLD,VJ,IMAG,,,Artista,,Altered,
Danna Paola,IMAG,VJ,,,Artista,,Altered,
Pepsi EDC Silent Party,IMAG,,,,Festivales,Bebida Energética,Automata,
VIVO,Tracking,,,,Telefonía,,OCULTA,
Porsche Carrera Panamericana,Videomapping,,,,Automoviles,,OCULTA,
IQOS,Videomapping,,,,Cigarros Electrónicos,,OCULTA,
Ceremonia Festival Escenario Traición,VJ,,,,Festivales,,"OCULTA
",
Ceremonia Festival Escenario Nike Unreal,VJ,,,,Festivales,,OCULTA,
Ceremonia Festival Instalación de Luces,Pixel Mapping,,,,Festivales,,OCULTA,
Momento,Tracking,UI,Contenido 3D,,Festivales,,OCULTA,
Higharc,Data Visualization,UI,Stand activacion,,Inmobiliaria,,Josue Ibañez Studio,
Tiffany Wonder Exhibition,Tracking,Contenido 3D,,,Joyería,,Josue Ibañez Studio,2023
Adidas Predator,UI,,,,Deporte,,Altered,
Adidas,UI,Pixel Mapping,Electrónica,Tracking,Deporte,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Blume Festival,Avatar IA,,,,Prescencia embajadora,Festival,Super Generative,2025
CROCS,Realidad Aumentada,"Contenido 3D
",,,Activación de lanzamiento,Calzado,Filmo,2025
SNF Water Science,Interactivo + IA,Metahuman,CCTV + IMAG,Animación IA,Aniversario,Tratamiento de Agua,Mediate,2024
KIA Motors Ecuador,Animación IA,"Contenido 3D
",,,Inauguración | Introducción,Automoviles,Mediate,2024
